Reg,Tech,Diesel,BioDie,Hyd,Bat,Cat
CA,Bat,0.0,0.0,0.0,61.806342199999996,24.287330899999997
CA,BioDie,0.0,121.98795199999999,0.0,0.0,-35.8146808
CA,BioHyb,0.0,129.252249,0.0,0.0,-4.9554626
CA,DieHyb,129.252249,0.0,0.0,0.0,-4.9554626
CA,Diesel,121.98795199999999,0.0,0.0,0.0,-35.8146808
CA,HydHyb,0.0,0.0,139.0693294,0.0,-1.85485911
CEN,Bat,0.0,0.0,0.0,39.8145575,11.270212799999998
CEN,BioDie,0.0,87.735048,0.0,0.0,-35.8146808
CEN,BioHyb,0.0,92.895864,0.0,0.0,-6.37300511
CEN,DieHyb,92.895864,0.0,0.0,0.0,-6.37300511
CEN,Diesel,87.735048,0.0,0.0,0.0,-35.8146808
CEN,HydHyb,0.0,0.0,99.448097,0.0,-3.74060826
MID_AT,Bat,0.0,0.0,0.0,36.5140728,9.8964398
MID_AT,BioDie,0.0,83.436741,0.0,0.0,-35.8146808
MID_AT,BioHyb,0.0,83.78212899999998,0.0,0.0,-6.1265177600000005
MID_AT,DieHyb,83.78212899999998,0.0,0.0,0.0,-6.1265177600000005
MID_AT,Diesel,83.436741,0.0,0.0,0.0,-35.8146808
MID_AT,HydHyb,0.0,0.0,87.600379,0.0,-3.5932445800000004
NE,Bat,0.0,0.0,0.0,31.0092741,8.20575644
NE,BioDie,0.0,76.27929,0.0,0.0,-35.8146808
NE,BioHyb,0.0,58.9181688,0.0,0.0,-4.12531429
NE,DieHyb,58.9181688,0.0,0.0,0.0,-4.12531429
NE,Diesel,76.27929,0.0,0.0,0.0,-35.8146808
NE,HydHyb,0.0,0.0,56.0105992,0.0,-2.39988485
NW,Bat,0.0,0.0,0.0,35.1009734,10.246615199999999
NW,BioDie,0.0,83.11536899999999,0.0,0.0,-35.8146808
NW,BioHyb,0.0,76.1117036,0.0,0.0,-4.607702000000001
NW,DieHyb,76.1117036,0.0,0.0,0.0,-4.607702000000001
NW,Diesel,83.11536899999999,0.0,0.0,0.0,-35.8146808
NW,HydHyb,0.0,0.0,76.42472310000001,0.0,-2.66221469
N_CEN,Bat,0.0,0.0,0.0,28.262981999999997,5.5116287999999996
N_CEN,BioDie,0.0,70.47996640000001,0.0,0.0,-35.8146808
N_CEN,BioHyb,0.0,48.8396016,0.0,0.0,-4.25294099
N_CEN,DieHyb,48.8396016,0.0,0.0,0.0,-4.25294099
N_CEN,Diesel,70.47996640000001,0.0,0.0,0.0,-35.8146808
N_CEN,HydHyb,0.0,0.0,43.156909799999994,0.0,-2.48840738
SE,Bat,0.0,0.0,0.0,36.123417999999994,10.710106
SE,BioDie,0.0,83.0065746,0.0,0.0,-35.8146808
SE,BioHyb,0.0,79.91259299999999,0.0,0.0,-4.6675527
SE,DieHyb,79.91259299999999,0.0,0.0,0.0,-4.6675527
SE,Diesel,83.0065746,0.0,0.0,0.0,-35.8146808
SE,HydHyb,0.0,0.0,81.75879,0.0,-2.66302635
SW,Bat,0.0,0.0,0.0,32.372042,8.6038202
SW,BioDie,0.0,78.2668985,0.0,0.0,-35.8146808
SW,BioHyb,0.0,67.72976499999999,0.0,0.0,-4.51430447
SW,DieHyb,67.72976499999999,0.0,0.0,0.0,-4.51430447
SW,Diesel,78.2668985,0.0,0.0,0.0,-35.8146808
SW,HydHyb,0.0,0.0,66.1024228,0.0,-2.62742184
TX,Bat,0.0,0.0,0.0,39.5150234,12.342365
TX,BioDie,0.0,89.28432,0.0,0.0,-35.8146808
TX,BioHyb,0.0,87.86755899999999,0.0,0.0,-4.929562300000001
TX,DieHyb,87.86755899999999,0.0,0.0,0.0,-4.929562300000001
TX,Diesel,89.28432,0.0,0.0,0.0,-35.8146808
TX,HydHyb,0.0,0.0,95.26626999999999,0.0,-2.72582139
